Product,Site,Price,Price per 100ml,URL
LRP Anthelios UVMune 400 SPF50 - Oil control,atida.com,16.99,,https://www.atida.com/pt-pt/la-roche-posay-anthelios-xl-50-spf-gel-creme-toque-seco-50ml
LRP Anthelios UVMune 400 SPF50 - Oil control,wells.pt,18.26,,https://wells.pt/protetor-solar-anthelios-uvmune-400-spf50-5058410.html
Medik8 Crystal Retinal 10,sweetcare.pt,99.26,,https://www.sweetcare.pt/pt/medik8-vitamina-cristal-retinal-serum-noturno-retinal-p-017631kd?st=04
Medik8 Crystal Retinal 10,notino.pt,104.00,,https://www.notino.pt/medik8/crystal-retinal-10-serum-de-noite-rejuvenescedor-com-vitaminas-a-e-e/
Medik8 Crystal Retinal 10,farmacia365.pt,109.05,,https://www.farmacia365.pt/medik8-crystal-retinal-10-serum-30ml
Medik8 Crystal Retinal 10,atida.com,110.00,,https://www.atida.com/pt-pt/medik8-crystal-retinal-10-30-ml
Medik8 Crystal Retinal 3,perfumeriascoqueteo.com,50.05,,https://www.perfumeriascoqueteo.com/tratamientos-rostro/17176-22398-crystal-retinal-10-818625024529.html
Medik8 Crystal Retinal 3,sabina.com,52.49,,https://www.sabina.com/pt/cosmetica-facial-mulher/19562-medik8-crystal-retinal-3-30ml.html
Medik8 Crystal Retinal 3,sweetcare.pt,58.66,,https://www.sweetcare.pt/pt/medik8-vitamina-cristal-retinal-serum-noturno-retinal-p-017631kd?st=02
Medik8 Crystal Retinal 3,atida.com,65.00,,https://www.atida.com/pt-pt/medik8-crystal-retinal-3-30-ml
Medik8 Crystal Retinal 3,skin.pt,65.01,,https://skin.pt/medik8-crystal-retinal-3-serum-noturno-30ml
Medik8 Crystal Retinal 6,perfumeriascoqueteo.com,66.22,,https://www.perfumeriascoqueteo.com/nicho/17177-22400-crystal-retinal-10-818625024536.html
Medik8 Crystal Retinal 6,sabina.com,69.44,,https://www.sabina.com/pt/cosmetica-facial-mulher/19563-medik8-crystal-retinal-6-30ml.html
Medik8 Crystal Retinal 6,sweetcare.pt,76.70,,https://www.sweetcare.pt/pt/medik8-vitamina-cristal-retinal-serum-noturno-retinal-p-017631kd?st=03
Medik8 Crystal Retinal 6,farmacia365.pt,84.25,,https://www.farmacia365.pt/medik8-crystal-retinal-6-serum-30ml
Medik8 Crystal Retinal 6,skin.pt,85.01,,https://skin.pt/medik8-crystal-retinal-6-serum-noturno-30ml
Medik8 Crystal Retinal 6,atida.com,86.00,,https://www.atida.com/pt-pt/medik8-crystal-retinal-6-30-ml
Medik8 Duo,farmacia365.pt,99.15,,https://www.farmacia365.pt/medik8-coffret-firm-favourites-serum-hidr8-b5-intense-30ml-creme-de-noite-advanced-night-restore-50ml
