Product,Price,Price per 100ml,URL
Avène Couvrance Fluido Maquiagem,16.45,,https://wells.pt/couvrance-fluid-foundation-corrector-3.0-3599509.html
Cerave Hydrating Cleanser (2x1000ml),38.99,1.95,https://www.atida.com/pt-pt/cerave-creme-de-limpeza-hidratante-2x1-litro
Cerave Hydrating Cream To Foam Cleanser (473ml),16.04,3.39,https://aveirofarma.pt/cera-ve-creme-espuma-de-limpeza-hidratante-473ml
Cerave Micellar Water (295ml),9.99,3.39,https://www.atida.com/pt-pt/cerave-agua-micelar-295ml
Dercos DS (390ml),17.53,4.49,https://atuafarmacia.pt/products/dercos-anticaspa-ch-caspa-oleosa-390ml
LRP Anthelios UVMune 400 SPF50,16.99,,https://www.atida.com/pt-pt/la-roche-posay-anthelios-xl-50-creme-fondante-50ml-sem-perfume
LRP Anthelios UVMune 400 SPF50 - Oil control,16.99,,https://www.atida.com/pt-pt/la-roche-posay-anthelios-xl-50-spf-gel-creme-toque-seco-50ml
Medik8 Crystal Retinal 10,99.26,,https://www.sweetcare.pt/pt/medik8-vitamina-cristal-retinal-serum-noturno-retinal-p-017631kd?st=04
Medik8 Crystal Retinal 3,52.49,,https://www.sabina.com/pt/cosmetica-facial-mulher/19562-medik8-crystal-retinal-3-30ml.html
Medik8 Crystal Retinal 6,76.70,,https://www.sweetcare.pt/pt/medik8-vitamina-cristal-retinal-serum-noturno-retinal-p-017631kd?st=03
Medik8 Duo,72.67,,https://www.sabina.com/pt/cosmetica-facial-mulher/35249-advanced-night-restore-50-ml-hydr8-b5-intense-30ml.html
Medik8 Sleep Glycolic,39.57,,https://www.sabina.com/pt/cosmetica-facial-mulher/19590-medik8-sleep-glycolic-30ml.html
Medik8 Super Ferrulic,70.25,,https://www.sabina.com/pt/cosmetica-facial-mulher/19591-medik8-super-c-ferulic-30-ml.html
Paradontax (500ml),10.29,2.06,https://wells.pt/elixir-cuidado-gengivas-7712480.html
Paradontax gums (500ml),8.99,1.80,https://wells.pt/elixir-cuidado-gengivas-7009519.html
Paradontax pasta (2x75ml),8.49,5.66,https://wells.pt/pasta-de-dentes-parodontax-original-7753557.html
