Product,Price,Price per 100ml,URL
Avène Couvrance Fluido Maquiagem,,,
Cerave Hydrating Cleanser (1000ml),16.51,1.65,https://aveirofarma.pt/cerave-creme-hidratante-de-limpeza-1000ml-
Cerave Hydrating Cream To Foam Cleanser (473ml),15.88,3.36,https://aveirofarma.pt/cera-ve-creme-espuma-de-limpeza-hidratante-473ml
Cerave Micellar Water (295ml),9.99,3.39,https://www.atida.com/pt-pt/cerave-agua-micelar-295ml
Dercos DS (390ml),18.79,4.82,https://atuafarmacia.pt/products/dercos-anticaspa-ch-caspa-oleosa-390ml
LRP Anthelios UVMune 400 SPF50,20.99,,https://www.atida.com/pt-pt/la-roche-posay-anthelios-xl-50-creme-fondante-50ml-sem-perfume
LRP Anthelios UVMune 400 SPF50 - Oil control,19.00,,https://wells.pt/protetor-solar-anthelios-uvmune-400-spf50-5058410.html
Medik8 Crystal Retinal 10,97.21,,https://www.sweetcare.pt/pt/medik8-vitamina-cristal-retinal-serum-noturno-retinal-p-017631kd?st=04
Medik8 Crystal Retinal 3,57.45,,https://www.sweetcare.pt/pt/medik8-vitamina-cristal-retinal-serum-noturno-retinal-p-017631kd?st=02
Medik8 Crystal Retinal 6,75.12,,https://www.sweetcare.pt/pt/medik8-vitamina-cristal-retinal-serum-noturno-retinal-p-017631kd?st=03
Medik8 Duo,68.40,,https://www.sabina.com/pt/cosmetica-facial-mulher/35249-advanced-night-restore-50-ml-hydr8-b5-intense-30ml.html
Medik8 Sleep Glycolic,43.30,,https://www.sweetcare.pt/pt/medik8-exfoliation-cleansing-sleep-glycolic-at-home-peel-noturno-p-017678kd
Medik8 Super Ferrulic,75.12,,https://www.sweetcare.pt/pt/medik8-vitamin-c-super-c-ferulic-serum-vitamina-c-p-017624kd?st=01
Paradontax (500ml),9.00,1.80,https://wells.pt/elixir-cuidado-gengivas-7712480.html
Paradontax gums (500ml),8.00,1.60,https://wells.pt/elixir-cuidado-gengivas-7009519.html
Paradontax pasta (75ml),6.99,9.32,https://www.atida.com/pt-pt/parodontax-extra-fresh-complete-protection-75ml
Paradontax pasta gums (2x75ml),9.99,6.66,https://www.atida.com/pt-pt/parodontax-pasta-de-dentes-complete-protection-gengivas-2x75-ml
Paradontax pasta original (2x75ml),8.00,5.33,https://wells.pt/pasta-de-dentes-parodontax-original-7753557.html
