Product,Price,Price per 100ml,URL
Avène Couvrance Fluido Maquiagem,,,
Cerave Hydrating Cleanser (1000ml),16.51,1.65,https://aveirofarma.pt/cerave-creme-hidratante-de-limpeza-1000ml-
Cerave Hydrating Cream To Foam Cleanser (473ml),17.73,3.75,https://wells.pt/hydrating-cream-to-foam-cleanser-8362148.html
Cerave Micellar Water (295ml),9.63,3.26,https://wells.pt/micellar-cleansing-water-6703198.html
Dercos DS,20.35,,https://atuafarmacia.pt/products/dercos-anticaspa-ch-caspa-oleosa-390ml
LRP Anthelios UVMune 400 SPF50,20.02,,https://wells.pt/protetor-solar-anthelios-uvmune-400-spf50-7577494.html
LRP Anthelios UVMune 400 SPF50 - Oil control,19.67,,https://wells.pt/protetor-solar-anthelios-uvmune-400-spf50-5058410.html
Medik8 Crystal Retinal 3,52.00,,https://www.atida.com/pt-pt/medik8-crystal-retinal-3-30-ml
Medik8 Crystal Retinal 6,68.80,,https://www.atida.com/pt-pt/medik8-crystal-retinal-6-30-ml
Medik8 Duo,72.00,,https://www.sabina.com/pt/cosmetica-facial-mulher/35249-advanced-night-restore-50-ml-hydr8-b5-intense-30ml.html
Medik8 Super Ferrulic,69.60,,https://www.atida.com/pt-pt/medik8-super-c-ferulic-30-ml
Paradontax (500ml),9.99,2.00,https://wells.pt/elixir-cuidado-gengivas-7712480.html
Paradontax gums (500ml),8.78,1.76,https://wells.pt/elixir-cuidado-gengivas-7009519.html
Paradontax pasta (75ml),6.99,9.32,https://www.atida.com/pt-pt/parodontax-extra-fresh-complete-protection-75ml
Paradontax pasta gums (2x75ml),9.99,6.66,https://www.atida.com/pt-pt/parodontax-pasta-de-dentes-complete-protection-gengivas-2x75-ml
Paradontax pasta original (2x75ml),8.49,5.66,https://wells.pt/pasta-de-dentes-parodontax-original-7753557.html
