Product,Price,Price per 100ml,URL
Avène Couvrance Fluido Maquiagem,17.62,,https://wells.pt/couvrance-fluid-foundation-corrector-3.0-3599509.html
Cerave Hydrating Cleanser (1000ml),17.12,1.71,https://wells.pt/creme-limpeza-rosto-e-corpo-hidratante-6703201.html
Cerave Hydrating Cream To Foam Cleanser (236ml),11.84,5.02,https://wells.pt/hydrating-cream-to-foam-cleanser-7291595.html
Cerave Micellar Water (295ml),9.99,3.39,https://www.atida.com/pt-pt/cerave-agua-micelar-295ml
Dercos DS (390ml),18.82,4.83,https://wells.pt/dercos-anti-pelicullaire-ds-shampooing-gras-285450.html#390ml
LRP Anthelios UVMune 400 SPF50,16.99,,https://www.atida.com/pt-pt/la-roche-posay-anthelios-xl-50-creme-fondante-50ml-sem-perfume
LRP Anthelios UVMune 400 SPF50 - Oil control,16.99,,https://www.atida.com/pt-pt/la-roche-posay-anthelios-xl-50-spf-gel-creme-toque-seco-50ml
Medik8 Crystal Retinal 10,99.26,,https://www.sweetcare.pt/pt/medik8-vitamina-cristal-retinal-serum-noturno-retinal-p-017631kd?st=04
Medik8 Crystal Retinal 3,55.25,,https://www.sabina.com/pt/cosmetica-facial-mulher/19562-medik8-crystal-retinal-3-30ml.html
Medik8 Crystal Retinal 6,73.10,,https://www.sabina.com/pt/cosmetica-facial-mulher/19563-medik8-crystal-retinal-6-30ml.html
Medik8 Duo,76.50,,https://www.sabina.com/pt/cosmetica-facial-mulher/35249-advanced-night-restore-50-ml-hydr8-b5-intense-30ml.html
Medik8 Sleep Glycolic,41.65,,https://www.sabina.com/pt/cosmetica-facial-mulher/19590-medik8-sleep-glycolic-30ml.html
Medik8 Super Ferrulic,73.95,,https://www.sabina.com/pt/cosmetica-facial-mulher/19591-medik8-super-c-ferulic-30-ml.html
Paradontax (500ml),9.99,2.00,https://wells.pt/elixir-cuidado-gengivas-7712480.html
Paradontax gums (500ml),8.78,1.76,https://wells.pt/elixir-cuidado-gengivas-7009519.html
Paradontax pasta (2x75ml),8.49,5.66,https://wells.pt/pasta-de-dentes-parodontax-original-7753557.html
